iter	Passed	Remaining
0	159	159294
1	160	80290
2	162	53906
3	163	40696
4	165	32849
5	166	27600
6	167	23810
7	168	20954
8	170	18741
9	171	16960
10	172	15502
11	173	14311
12	175	13306
13	176	12436
14	177	11675
15	179	11020
16	180	10435
17	181	9911
18	182	9444
19	183	9014
20	185	8626
21	186	8275
22	187	7965
23	188	7682
24	190	7423
25	191	7180
26	193	6971
27	195	6773
28	196	6584
29	198	6405
30	199	6241
31	202	6118
32	204	5998
33	206	5868
34	208	5761
35	211	5666
36	213	5558
37	215	5462
38	217	5364
39	219	5277
40	223	5220
41	225	5136
42	226	5050
43	229	4980
44	231	4905
45	232	4829
46	234	4757
47	236	4689
48	238	4624
49	240	4565
50	242	4507
51	244	4454
52	246	4398
53	248	4346
54	250	4296
55	252	4251
56	254	4205
57	256	4160
58	258	4119
59	260	4076
60	262	4035
61	264	3994
62	266	3957
63	268	3921
64	270	3886
65	271	3847
66	273	3813
67	275	3776
68	278	3752
69	280	3721
70	282	3694
71	284	3666
72	286	3634
73	288	3606
74	290	3577
75	292	3555
76	294	3528
77	296	3503
78	298	3483
79	301	3465
80	304	3454
81	306	3429
82	307	3395
83	309	3373
84	311	3352
85	313	3332
86	315	3313
87	318	3296
88	320	3277
89	322	3255
90	323	3234
91	325	3216
92	328	3202
93	330	3181
94	331	3159
95	333	3140
96	334	3118
97	336	3096
98	337	3074
99	339	3051
100	340	3029
101	341	3007
102	342	2986
103	344	2965
104	345	2944
105	348	2936
106	349	2914
107	350	2893
108	351	2874
109	352	2854
110	353	2832
111	354	2812
112	355	2791
113	356	2770
114	357	2752
115	358	2731
116	359	2710
117	360	2691
118	360	2672
119	361	2653
120	362	2635
121	363	2615
122	364	2598
123	365	2580
124	366	2562
125	367	2546
126	367	2527
127	368	2511
128	369	2495
129	370	2479
130	371	2463
131	372	2448
132	373	2432
133	374	2417
134	374	2402
135	375	2387
136	376	2373
137	377	2358
138	378	2345
139	379	2331
140	380	2318
141	381	2302
142	382	2289
143	383	2277
144	384	2264
145	385	2252
146	386	2242
147	387	2229
148	388	2217
149	389	2204
150	390	2193
151	391	2181
152	391	2169
153	393	2159
154	393	2147
155	394	2136
156	395	2124
157	396	2113
158	397	2101
159	398	2090
160	398	2078
161	399	2067
162	400	2056
163	401	2046
164	402	2036
165	403	2026
166	404	2015
167	404	2005
168	405	1996
169	406	1986
170	407	1976
171	408	1966
172	409	1957
173	410	1947
174	411	1939
175	412	1929
176	413	1921
177	414	1913
178	415	1905
179	416	1896
180	417	1887
181	417	1878
182	419	1870
183	420	1862
184	421	1854
185	421	1846
186	422	1838
187	423	1829
188	424	1822
189	425	1813
190	426	1805
191	427	1797
192	428	1789
193	428	1781
194	429	1774
195	430	1766
196	431	1758
197	432	1751
198	433	1743
199	434	1736
200	435	1729
201	435	1722
202	436	1714
203	437	1706
204	438	1699
205	439	1692
206	439	1685
207	440	1677
208	441	1670
209	442	1663
210	443	1657
211	444	1650
212	444	1644
213	445	1637
214	446	1630
215	447	1624
216	448	1617
217	449	1610
218	449	1604
219	450	1598
220	451	1592
221	452	1586
222	453	1579
223	454	1573
224	455	1567
225	455	1561
226	456	1556
227	457	1550
228	458	1544
229	459	1538
230	460	1532
231	461	1527
232	462	1521
